TemplateID	Regex	Tag	Category	Group
53	\s*The\s*ost_connect\s*operation\s*failed\s*with\s*\-16	LUSTRE_OST_DEVICE_BUSY	LUSTRE	STORAGE
54	failed\s*to\s*create\s*bitmap	SONEXION_FILESYSTEM	SONEXION	STORAGE
55	Buffer\s*I\/O\s*error\s*on\s*device	SONEXION_IO_ERROR	SONEXION	STORAGE
56	LustreError.*BRW\s*to\s*missing\s*obj.*-2	LUSTRE_QUOTA	LUSTRE	STORAGE
57	sysrq_handle_crash\+	CRASH	OS	SYS/USER_SW
58	send\s*error.*\(SOURCE_SSID_DREQ:MDD_INV\)	LNET_INVALID_MMD	LNET	NETWORK
59	LustreError:.*went\s*back\s*in\s*time	LUSTRE_TIME_REWIND_BUG	LUSTRE	STORAGE
60	Cant\s*send\s*to\s*\S+\@gni\s*after\s*timeout\s*	LNET_CONNECTION_FAILED	LNET	NETWORK
61	\s*ALERT:\s*.*table\s*is\s*corrupt.\s*.*\s*is\s*out\s*of\s*time\s*order	MOAB_RE_TABLE_CORRUPT	MOAB	SCHEDULING
62	\s*table\s*full,\s*dropping\s*packet.	cray_hsn_PACKET_DROP	cray_hsn	NETWORK
63	error:\s*fork:\s*Cannot\s*allocate\s*memory	SSHD	OTHER	SYS/USER_SW
64	Could\s*not\s*get\s*system\s*node\s*list\s*from\s*.*No\s*space\s*left\s*on\s*device	SONEXION_NO_SPACE_LEFT	SONEXION	STORAGE
65	Fatal:\s*Failover:\s*power\s*off.*failed	IPMI_FAILOVER	HEALTH_CHECK	RESILIENCY_ARCHITECTURE
66	LustreError.*OST.*Not\s*available\s*for\s*connect\s*from\s*\S+\s*\(stopping\)	LUSTRE_OST_NOT_AVAILABLE	LUSTRE	STORAGE
67	The\s*mds_connect\s*operation\s*failed\s*with\s*\-16	LUSTRE_MDS_DEVICE_BUSY	LUSTRE	STORAGE
68	\w+:\s*unable\s*to\s*read\s*partition\s*table	SONEXION_FILESYSTEM	SONEXION	STORAGE
69	LDISKFS-fs\s*error\s*.*Journal\s*has\s*aborted	SONEXION_JOURNAL_ISSUE	SONEXION	STORAGE
70	Machine\s*Check\s*Exception	MCE	HARDWARE	BLADE/NODE
71	LustreError.*qmaster\s*recovery\s*failed\s*for	LUSTRE_FAILOVER_ERROR	LUSTRE	STORAGE
72	Process\s*.*returned\s*with\s*exit\s*code\s*134	NODE_HEALTH	HEALTH_CHECK	RESILIENCY_ARCHITECTURE
73	LNet:.*error\s*-113	LNET_NO_ROUTE_TO_HOST	LNET	NETWORK
74	gnilnd_cb:.*error\s*-113	LNET_NO_ROUTE_TO_HOST	LNET	NETWORK
74	error:\s*forward_thread\s*to\s*\S+:\s*Connection\s*refused	SONEXION_CONNECTION_REFUSED	SONEXION	STORAGE
75	\s*ALERT:\s*previous\s*failure\s*attempting\s*to\s*cancel\s*job\s*in	MOAB_CANNOT_CANCEL_JOB	MOAB	SCHEDULING
76	\(launch_tests\)\s*FAILURES:	ALPS_NODE_HEALTH	ALPS	SCHEDULING
77	Valere\s*rectifiers\s*with\s*sharing\s*faults:\s*	VRM	HARDWARE	BLADE/NODE
78	Libgcrypt\s*error:\s*invalid\s*state\s*transition\s*Fatal\-Error\s*=>\s*Fatal\-Error	SONEXION_IPMI	SONEXION	STORAGE
79	\s*ALERT:\s*cannot\s*locate\s*\S+	MOAB_ALPS_MISCOMMUNICATION	MOAB	SCHEDULING
80	\@\S+:\s*ADDR\s*ERROR\s*\-110	LNET_UNKNOWN_NID	LNET	NETWORK
81	ERROR:\s*mount\s*returned\s*\d+	SONEXION_RAID_CONTROLLER	SONEXION	STORAGE
82	LDISKFS-fs\s*error\s*.*Error\s*reading\s*block\s*bitmap\s*for	SONEXION_BITMAP_READ_ERROR	SONEXION	STORAGE
83	\$\$\s*error\s*\-62\s*on\s*tx	LNET_TIMEOUT	LNET	NETWORK
84	LustreError:.*-108	LUSTRE_TRANSPORT_END_SHUTDOWN	LUSTRE	STORAGE
85	Lustre:.*Request.*ago\s*has\s*timed\s*out\s*\(\d+s\s*prior\s*to\s*deadline\)	LUSTRE_TIMEOUT	LUSTRE	STORAGE
86	LOG_ERROR::Client\s*connection\s*not\s*found.\s*	MOAB_CONNECTION	MOAB	SCHEDULING
87	\*\*\*ERROR\*\*\*\s*Unable\s*to\s*read\s*file	SONEXION_IO_ERROR	SONEXION	STORAGE
88	apinit\s*invoked\s*oom\-killer:	OOM	USER_SW	SYS/USER_SW
89	LustreError:.*\s*error\s*writing\s*seq\s*\d+\s*last\s*objid:\s*rc\s*=\s*\-30	LUSTRE_READ_ONLY_FS	LUSTRE	STORAGE
90	LustreError.*could\s*not\s*delete\s*object:\s*rc\s*=\s*\-2	LUSTRE_QUOTA	LUSTRE	STORAGE
91	couldn.t\s*allocate\s*\S+\s*mbox\s*for\s*conn\s*Error:\s*-12	LNET_OOM	LNET	NETWORK
92	to\s*suspect\s*because\s*the\s*node\s*failed\s*a\s*health\s*test.	NODE_SUSPECT	HEALTH_CHECK	RESILIENCY_ARCHITECTURE
93	Dropping\s*PUT\s*from	LNET_PACKET_DROP	LNET	NETWORK
94	Database\s*error:\s*	SONEXION_MYSQL	SONEXION	STORAGE
95	Protocol\s*error:\s*server\s*\.*Not\s*fatal,\s*but\s*please\s*notify\s*on	LUSTRE_PROTOCOL_ERROR	LUSTRE	STORAGE
96	t\s*stat\s*MDS.*error\s*-16	LUSTRE_MDS_DEVICE_BUSY	LUSTRE	STORAGE
97	LustreError:.*Forced\s*cleanup\s*waiting\s*for.*namespace\s*with\s*3\s*resources\s*in\s*use	LUSTRE_CLEANUP	LUSTRE	STORAGE
98	but\s*net\s*lookup\s*failed\s*on\s*dgram	LUSTRE_NET_LOOKUP	LUSTRE	STORAGE
99	LustreError:.*MGS\s*handle.*rc=\-16	LUSTRE_DEVICE_BUSY	LUSTRE	STORAGE
100	Buffer\s*I\/O\s*error\s*on\s*device	SONEXION_IO_ERROR	SONEXION	STORAGE
101	:\s*Authentication\s*of\s*peer\s*failed	DRBD_AUTHENTICATION	OTHER	SYS/USER_SW
102	\(quota_ctl.c:\d+:client_quota_ctl\(\)\)\s*ptlrpc_queue_wait\s*failed,\s*rc:\s*\-110	LUSTRE_QUOTA	LUSTRE	STORAGE
103	SSID\s*Correctable\s*Memory\s*Error	cray_hsn_ECC_ERROR	cray_hsn	NETWORK
104	ipogif_rx_irq:Received\s*packet\s*checksum\s*error	cray_hsn_CHECKSUM_ERROR	cray_hsn	NETWORK
105	ERROR\s*checkCageVRMs:\s*modBus\s*fault	VRM	HARDWARE	BLADE/NODE
106	LustreError.*\#\#\s*lock\s*timed\s*out	LUSTRE_LOCK_TIMEOUT	LUSTRE	STORAGE
107	\s*ALERT:\s*unexpected\s*\S+\s*error	MOAB_AM_ERROR	MOAB	SCHEDULING
108	ERROR.*Link\s*recovery\s*operation\s*failed	cray_hsn_LINK_RECOVERY_FAILED	cray_hsn	NETWORK
109	\s*ALERT:\s*parameter\s*.QOS\w+.\s*has\s*invalid\s*value	MOAB_QOS	MOAB	SCHEDULING
110	LNet.*\s*Deleting\s*messages\s*for\s*.*connection\s*failed	LNET_CONNECTION_FAILED	LNET	NETWORK
111	in\s*progress\s*operations\s*using\s*this\s*service\s*will\s*fail.	LUSTRE_EVICT	LUSTRE	STORAGE
112	Error\s*sending\s*GET.*\-113	LNET_NO_ROUTE_TO_HOST	LNET	NETWORK
113	client\s*was\s*evicted\s*by	LUSTRE_EVICT	LUSTRE	STORAGE
114	segfault\s*at	SEGFAULT	USER_SW	SYS/USER_SW
115	t\s*accept.*on.*bad\s*dst\s*nid	LUSTRE_UNKNOWN_NID	LUSTRE	STORAGE
116	ERROR:\s*Critical\s*\w+Error:\s*Unit\s*Attention\s*for\s*device	SONEXION_IO_ERROR	SONEXION	STORAGE
117	Killed\s*process.*.\s*Apid	ALPS_APID_KILLED	ALPS	SCHEDULING
118	do_node_halt:\s*	NODE_HALT	HEALTH_CHECK	RESILIENCY_ARCHITECTURE
119	md:\s*pers\->run\(\s*\S+\s*\)\s*failed	SONEXION_RAID_CONTROLLER	SONEXION	STORAGE
120	rap\s*divide\s*error\s*ip:	CRASH	OS	SYS/USER_SW
121	[oO]ut\s*of\s*memory:\s*[Kk]ill	OOM	USER_SW	SYS/USER_SW
122	DVS:.*detected\s*false\s*node\s*down\s*event	DVS_HEARTBEAT	DVS	RESILIENCY_ARCHITECTURE
123	ALERT:\s*unexpected\s*node\s*transition\s*on\s*node	MOAB_ALPS_MISCOMMUNICATION	MOAB	SCHEDULING
124	md\/raid:\w+:\s*failed\s*to\s*run\s*raid\s*set.	SONEXION_FAILED_RAID_SET	SONEXION	STORAGE
125	LustreError:.*operation\s*ldlm_enqueue\s*failed\s*with\s*\-107.	LUSTRE_TRANSPORT_END_SHUTDOWN	LUSTRE	STORAGE
126	ASSERTION.*falling\s*over\s*now	LUSTRE_START_FAILOVER_ERROR	LUSTRE	STORAGE
127	\s*Fatal:\s*Error\s*running\s*prefailover,	LUSTRE_FAILOVER_ERROR	LUSTRE	STORAGE
128	LOG_ERROR::Connection\s*refused\s*	MOAB_CONNECTION	MOAB	SCHEDULING
129	Failed\s*to\s*setup\s*FMA\s*mailbox	cray_hsn_FMA	cray_hsn	NETWORK
130	Oops:\s*.*SMP\s*	OOPS	OS	SYS/USER_SW
131	datagram\s*to\s*\S+\@gni\s*timed\s*out	LNET_CONNECTION_SETUP	LNET	NETWORK
132	setuid\s*failed:\s*Resource\s*temporarily\s*unavailable	SONEXION_RESUORCES_UNAVAILABLE	SONEXION	STORAGE
133	ERROR\s*\w+:\s*cab\s*health\s*fault\s*detected.	CABINET_HEALTH	HEALTH_CHECK	RESILIENCY_ARCHITECTURE
134	fatal:\s*Privilege\s*separation\s*user\s*sshd\s*does\s*not\s*exist	SSHD	OTHER	SYS/USER_SW
135	LOG_ERROR::Unknown\s*Job\s*Id\s*Error	MOAB_JOB_DEPENDENCY	MOAB	SCHEDULING
136	Lnet.*Rx\s*from\s*.*failed:\s*5	LNET_RX_FAILED	LNET	NETWORK
137	node_health_recovery.*ERROR	ALPS_NODE_HEALTH	ALPS	SCHEDULING
138	Process.*returned\s*with\s*exit\s*code\s*134	ALPS_FAILED_HEALTHCHECK	ALPS	SCHEDULING
139	Lustre.*\s*are\s*active,\s*abort\s*quota\s*recovery	LUSTRE_FAILOVER_ERROR	LUSTRE	STORAGE
140	md:\s*bitmap\s*read\s*error:\s*	SONEXION_BITMAP_READ_ERROR	SONEXION	STORAGE
141	Error\s*\(\d+\)\s*reading\s*file\s*	SONEXION_FILESYSTEM_ERROR	SONEXION	STORAGE
142	\s*table\s*full,\s*dropping\s*packet.	cray_hsn_PACKET_DROP	cray_hsn	NETWORK
143	dropping\s*failed\s*dgram\s*post	LNET_DGRAM	LNET	NETWORK
144	\S+:\s*read\s*failed\s*after\s*\d+\s*of\s*\d+	SONEXION_IO_ERROR	SONEXION	STORAGE
145	\)\s*error:\s*iocontrol\s*MDC.*err\s*=\s*\-2	LUSTRE_QUOTA	LUSTRE	STORAGE
146	LustreError:.*Couldn't\s*send\s*llcd\s*\S+\s*\(\-13\)	LUSTRE_PERMISSION_DENIED	LUSTRE	STORAGE
147	\S+:\s*Remote\s*failed\s*to\s*finish\s*a\s*request\s*within\s*ko\-count	SONEXION_FAILOVER_ERROR	SONEXION	STORAGE
148	LOG_ERROR:.*ALERT\s*could\s*not\s*create\s*lock\s*on\s*file	MOAB_CANNOT_CREATE_LOCK	MOAB	SCHEDULING
149	ERROR\s*.*remote\s*host\s*error:\s*.*action..startBackup.,\s*error=.float\s*division	LUSTRE_BACKUP_FAILURE	LUSTRE	STORAGE
150	failed\s*to\s*allocate\s*tx	LNET_CONNECTION_FAILED	LNET	NETWORK
151	\S+:\S+:\s*not\s*enough\s*operational\s*devices	SONEXION_NOT_ENOUGH_WORKING_DEVICES	SONEXION	STORAGE
152	LustreError:.*wrote\s*trans\s*51593153\s*for\s*client\s*.err\s*=\s*\-30	LUSTRE_READ_ONLY_FS	LUSTRE	STORAGE
153	LOG_ERROR::\S+,\s*attempt\s*to\s*start\s*job\s*in\s*non\-started\s*queue	MOAB_UNEXPECTED_JOB_STATE	MOAB	SCHEDULING
154	Lustre:.*recovery\s*is\s*aborted,\s*evict\s*exports\s*in\s*recovery	LUSTRE_FAILOVER_ERROR	LUSTRE	STORAGE
155	LustreError:\s*23318:0:(mdc_locks.c:639:mdc_enqueue())\s*fid\s*allocation\s*result:\s*-108	LUSTRE_TRANSPORT_END_SHUTDOWN	LUSTRE	STORAGE
156	ERROR:\s*Disk\s*not\s*found\s*by	SONEXION_DISK_FAILURE	SONEXION	STORAGE
157	LustreError:.*Unable\s*to\s*process\s*log:\s*\-108	LUSTRE_TRANSPORT_END_SHUTDOWN	LUSTRE	STORAGE
158	failed\s*to\s*bind\s*to\s*LDAP\s*server\s*ldap	LDAP_UNAVAILABLE	OTHER	SYS/USER_SW
159	Connection\s*to\s*.*\s*was\s*lost;\s*in\s*progress\s*operations\s*using\s*this\s*service\s*will\s*fail	LUSTRE_EVICT	LUSTRE	STORAGE
160	LustreError.*error\s*starting\s*handle\s*for\s*op\s*.*:\s*rc\s*\-30	LUSTRE_READ_ONLY_FS	LUSTRE	STORAGE
161	LutreError.*-EIO	LUSTRE_IO_ERROR	LUSTRE	STORAGE
162	HANDLING\s*MCE\s*MEMORY\s*ERROR	MCE	HARDWARE	BLADE/NODE
163	LustreError:.*\s*The\s*configuration\s*from\s*log\s*.*failed\s*\(\-108\)..\s*See\s*the\s*syslog\s*for\s*more\s*information.	LUSTRE_TRANSPORT_END_SHUTDOWN	LUSTRE	STORAGE
164	adding\s*link.*to\s*linkfailed\s*list	cray_hsn_LINK_FAILED	cray_hsn	NETWORK
165	SSID\s*Detected\s*Misrouted\s*Packet	cray_hsn_MISROUTED_PACKET	cray_hsn	NETWORK
166	hub\s*\S+\s*hub_port_status\s*failed	SONEXION_TIMEOUT	SONEXION	STORAGE
167	HWERR:0xfe1f:Access\s*Violation\s*Error.*MMU\s*Error	GPU_MMU_ERROR	GPU_MEM	BLADE/NODE
168	ERROR\s*L1_handle_state_event:	L1_FIRMWARE	HEALTH_CHECK	RESILIENCY_ARCHITECTURE
169	LOG_ERROR::Transport\s*endpoint\s*is\s*not\s*connected	MOAB_CONNECTION	MOAB	SCHEDULING
170	Cant\s*receive\s*from\s*\S+\@gni\s*after\s*timeout	LNET_CONNECTION_FAILED	LNET	NETWORK
171	\s*ERROR:\s*cannot\s*connect\s*to\s*PBS\s*server.*rc:\s*\-1	MOAB_CANNOT_CONTACT_PBS	MOAB	SCHEDULING
172	Timed\s*out\s*RDMA\s*with\s*	LNET_STALE	LNET	NETWORK
173	DVS:\s*verify_filesystem:\s*error\s*\-112\s*encountered\s*while\s*mounting	DVS_NOT_AVAILABLE	DVS	RESILIENCY_ARCHITECTURE
174	LOG_ERROR::Request\s*invalid\s*for\s*state\s*of\s*job.*Unable\s*to\s*perform\s*dependency\s*with\s*job	MOAB_INTERNAL_ERROR	MOAB	SCHEDULING
175	bwsmw1\s*\d+\s*CMD:\s*.*halt_node	NODE_HALT	HEALTH_CHECK	RESILIENCY_ARCHITECTURE
176	ERROR:\s*Canister\s*firmware	L0_FIRMWARE	HEALTH_CHECK	RESILIENCY_ARCHITECTURE
177	ERROR:\s*Current\s*configuration\s*is\s*unsupported\s*at\s*the\s*moment	SONEXION_CONFIGURATION	SONEXION	STORAGE
178	block\s*\w+:\s*disk\(\s*UpToDate\s*->\s*Failed\s*\)\s*	SONEXION_DISK_FAILURE	SONEXION	STORAGE
179	multicast\s*join\s*failed\s*for.*,\s*status\s*-22	INFINIBAND_MCAST_INVALID_ARGUMENTS	INFINIBAND	NETWORK
180	ERROR:\s*route\s*command\s*for\s*partition.*timed\s*out	cray_hsn_TIMEOUT	cray_hsn	NETWORK
181	[kK]ernel\s*panic	PANIC	OS	SYS/USER_SW
182	dispatch:\s*current_state\s*set_alerts	cray_hsn_SET_ALERTS	cray_hsn	NETWORK
183	Unable\s*to\s*send\s*REPLY\s*for\s*GET\s*from.*\-113	LNET_NO_ROUTE_TO_HOST	LNET	NETWORK
184	Agent\s*unable\s*to\s*connect\s*to\s*	ALPS_CONNECTION	ALPS	SCHEDULING
185	SysRq\s*:\s*Trigger\s*a\s*crash	CRASH	OS	SYS/USER_SW
186	JBD2:\s*I\/O\s*error\s*detected\s*when\s*updating\s*journal\s*superblock	SONEXION_IO_ERROR	SONEXION	STORAGE
187	PCIe\s*Bus\s*Error:\s*severity=Uncorrected	PCIE_UNCORR_ERROR	HARDWARE	BLADE/NODE
188	SSID\s*Request\s*Timeout	cray_hsn_SSID	cray_hsn	NETWORK
189	LOG_ERROR::PBS_Server,\s*pbsd_init\s*failed	MOAB_INTERNAL_ERROR	MOAB	SCHEDULING
190	\s*ALERT:\s*Failed\s*erasing\s*job\s*.\d+.\s*that\s*was\s*not\s*found\s*in\s*job\s*table\s*with\s*force\s*delete	MOAB_CANNOT_CANCEL_JOB	MOAB	SCHEDULING
191	dispatch:\s*current_state\s*hw_error\s*	GENERIC_HARDWARE_ERROR	HARDWARE	BLADE/NODE
192	LOG_ERROR::update_ha_lock_thread,\s*could\s*not\s*update	MOAB_CANNOT_CREATE_LOCK	MOAB	SCHEDULING
193	unable\s*to\s*read\s*RDB\s*block	SONEXION_IO_ERROR	SONEXION	STORAGE
194	Fatal:\s*ProvisionerRsyncDaemon	RSYNC_PROTOCOL_ERROR	OTHER	SYS/USER_SW
195	ERROR\s*\S+:\s*modBus\s*fault	L1_FIRMWARE	HEALTH_CHECK	RESILIENCY_ARCHITECTURE
196	Single\s*Bit\s*Error	LNET_SINGLE_BIT_ERROR	LNET	NETWORK
197	ERROR\s*.*<DarBackupError.*>	LUSTRE_BACKUP_FAILURE	LUSTRE	STORAGE
198	GHES:\s*Generic\s*hardware\s*error\s*source:	GENERIC_HARDWARE_ERROR	HARDWARE	BLADE/NODE
199	mezz\s*power\s*status\s*check\s*.*failed.	EPO	HARDWARE	BLADE/NODE
200	md\/raid:\w+:\s*failed\s*to\s*run\s*raid\s*set.	SONEXION_RAID_CONTROLLER	SONEXION	STORAGE
201	LOG_ERROR::Cannot\s*allocate\s*memory	ALPS_CANNOT_ALLOCATE_MEMORY	ALPS	SCHEDULING
202	Application_Exited_Check.*STACK	ALPS_NODE_HEALTH	ALPS	SCHEDULING
203	LNetError.*fatal\s*error	LNET_FATAL_ERROR	LNET	NETWORK
204	CB\s*ID\s*Peer\s*LCB\s*Soft\s*Errors\s*Fatal\s*Errors	cray_hsn_FATAL_ERROR	cray_hsn	NETWORK
205	Not\s*using\s*cache\s*on\s*failed\s*catalog	SONEXION_FILESYSTEM	SONEXION	STORAGE
206	\(xtnhc\)\s*FAILURES	NHC_FAILED_TEST	HEALTH_CHECK	RESILIENCY_ARCHITECTURE
207	\S+:\s*Disk\s*failure\s*on\s*\w+,\s*disabling\s*device.	SONEXION_DISK_FAILURE	SONEXION	STORAGE
208	\@gni:\s*error\s*-62	LNET_TIMEOUT	LNET	NETWORK
209	\*\*\*ERROR\*\*\*.*lane\(s\)\s*reinit\s*failed	cray_hsn_LANE_RECOVERY_FAILED	cray_hsn	NETWORK
210	Is\s*node\s*dead?	LNET_PEER_DOWN	LNET	NETWORK
211	\@gni:\s*error\s*-62	LNET_TIMEOUT	LNET	NETWORK
212	LustreError:.*\s*A\s*client\s*on\s*nid\s*\S+\s*was\s*evicted\s*due\s*to\s*a\s*lock\s*blocking\s*callback\s*time\s*out:\s*rc\s*\-107	LUSTRE_TRANSPORT_END_SHUTDOWN	LUSTRE	STORAGE
213	\s*Fatal:\s*Error\s*stopping\s*shared\s*storage,	LUSTRE_FAILOVER_ERROR	LUSTRE	STORAGE
214	PID\s*\d+\s*killed\s*due\s*to\s*inadequate\s*hugepage\s*pool	SONEXION_PID_KILL	SONEXION	STORAGE
215	Error\s*sending\s*PUT\s*to.*\-113	LNET_NO_ROUTE_TO_HOST	LNET	NETWORK
216	LustreError:\s*.*status\s*-116,\s*old\s*was\s*\d+\s*\S+	LUSTRE_STALE_NFS_HANDLE	LUSTRE	STORAGE
217	\-fs\s*error\s*	FILESYSTEM_ERROR_JOURNAL	SONEXION	STORAGE
218	LustreError:.*Dropping\s*timed-out\s*read.*lockingobject	LUSTRE_TIMEOUT	LUSTRE	STORAGE
219	LOG_ERROR::.*cannot\s*connect\s*to\s*port\s*	MOAB_CONNECTION	MOAB	SCHEDULING
220	cb_hw_error:\s*failed_component	cray_hsn_CHANNEL_FAILED	cray_hsn	NETWORK
221	BUG:$	KERNEL_NULL_POINTER	OS	SYS/USER_SW
222	Can.t\s*setup\s*rdma\s*for\s*PUT\s*to.*\-90	LUSTRE_RDMA	LUSTRE	STORAGE
223	LOG_CRITICAL::Bad\s*UID\s*for\s*job\s*execution.*hild\s*failed\s*in\s*commit\s*request\s*for\s*job	MOAB_JOB_STUCK	MOAB	SCHEDULING
224	FAILURES:\s*\(Admindown\)\s*Application_Exited_Check\s*	ADMINDOWN	HEALTH_CHECK	RESILIENCY_ARCHITECTURE
225	RDMA\s*too\s*fragmented\s*for\s*	LUSTRE_FRAGMENTED_RDMA	LUSTRE	STORAGE
