1	ERROR\s*powerSlotDown:	EPO	HARDWARE	BLADE/NODE
2040	ERROR:\sroute\scommand\sfor\spartition\sp0\stimed\sout	ROUTING_TIMEOUT	REROUTING	GEMINI
2041	add_link_to_list:\sadding\slink	LINK_FAILED_HANDLED	LINK_FAILOVER	GEMINI
2042	l0sys_healthmon:\sL0SYS_HEALTHMON\sfailed	BLADE_ELECTRICAL_ISSUE	BLADE	HARDWARE
2043	Warm\sswap\sbeginning	WARM_SWAP_BEGIN	GEMINI_FAILOVER	GEMINI
2044	Attempting\sto\sadd\sblades	WARM_SWAP_TRANSITION	GEMINI_FAILOVER	GEMINI
2045	Appending\sL0\sc\d+-\d+c\ds\d\sstate\sready	CABINET_READDED	BLADE	HARDWARE
2046	build_modulelist:\ssetting\sblade\sc\d+-\d+c\ds\d\sto\sdisabled\smodule\slist	BLADE_RECOVERY_GEMINI	GEMINI_FAILOVER	GEMINI
2047	Clearing\sblade\swarnings	BLADE_RECOVERY_SUCCESS	BLADE	HARDWARE
2048	Clearing\sblade\salerts	BLADE_RECOVERY	BLADE	HARDWARE
2049	Installing\snew\sroutes	REROUTING	FAILOVER	GEMINI
2050	Links\sthat\swill\sbe\sunused\sare\snow\sturned\soff	DISABLE_LINKS	FAILOVER	GEMINI
2051	Finished\sinstalling\snew\sroutes	REROUTE_COMPLETE	FAILOVER	GEMINI
2052	Unquiescing\sthe\shigh\-speed\snetwork	HSN_NETWORK_UNIQUISCE	FAILOVER	GEMINI
2053	Computing\snew\sroutes	REROUTE_COMPUTE	FAILOVER	GEMINI
2054	Waiting\sfor\sthe\shigh-speed\snetwork\straffic\sto\sdrain	HSN_WAIT_NETWORK_DRAIN	FAILOVER	GEMINI
2055	Finished\squiescing\sthe\shigh-speed\snetwork	HSN_NETWORK_QUISCED	FAILOVER	GEMINI
2056	Test\sreroute\sproceeding	TEST_REROUTE	FAILOVER	GEMINI
2057	Turning\slink\smonitoring\son\sfor\sblades\sthat\swere\sadded	WARMSWAP_BLADE_ON	FAILOVER	GEMINI
2058	Finished\supdating\sSDB\sdatabase	SDB_UPDATE_SUCCESS	FAILOVER	GEMINI
2059	cb_node_unavailable:\snode\sc\d+-\d+c\ds\dn\d\sfound\sin\sunavailable\sevent	node_down	BLADE	HARDWARE
2060	cb_node_available:\sfound\snode\sc\d+-\d+c\ds\dn\d	node_up 	BLADE	HARDWARE
2061	Cabinet\sReceived\sUnexpected\sBlade\sController\sHeartbeat	CABINET_HEARTBEAT_FAILED	CABINET	 HARDWARE
2062	Link\sInactive	LINK_INACTIVE	GEMINI	NETWORK
2063	HWERR.*0x0801	HWERR_MISROUTE_PACKET	HWERR_ORB	PACKET
2064	HWERR.*0x0802	HWERR_REQUEST_WITH_NO_ENTRY_ORB	HWERR	PACKET
2065	HWERR.*0x0803	HWERR_COMMAND_MISMATCH	HWERR_ORB	PACKET
2066	HWERR.*0x0816	HWERR_DWORD_FLIT_MISMATCH	HWERR_ORB	PACKET
2067	HWERR.*0x0b2b	HWERR_B2B	HWERR_B2B	SSID
2068	handling\slack\sof\sforward\sprogress\serror\s.*for\snode\s(c\d+-\d+c\d+s\d+n\d+)	LACK_OF_FORWARD_PROGRESS	NLINK_FAILOVER	GEMINI	NETWORK
2069	set_warm_swap_err	WARM_SWAP_ERR_INFO	WARM_SWAP	GEMINI_FAILOVER
2071	HWERR.*0x0b2e	HWERR_SSID_RESPONSE_PROTOCOL_ERROR	RESPONSE_PROTOCOL	GEMINI_ASIC
2080	HWERR.*0x0d08	HWERR_NIF_BAD_REQ_PACKET	NIF	PACKET
2081	HWERR.*0x0d09	HWERR_NIF_BAD_RESPONSE_PACKET_HSN_BUG_1	NIF	PACKET
2088	HWERR.*0x0814	HWERR_FLOW_CTL_ORB_TO_NL_HSN_BUG_2	FLOW_CONTROL	GEMINI
2094	HWERR.*0x0(401|b15|b1d|b30|b2d)	HWERR_SSID	SSID	GEMINI_ASIC
2095	HWERR.*0x0d0(4|5)	HWERR_NIF_SQUASHED_REQ	NIF	GEMINI_ASIC
2142	HWERR.*0x080d	illegal_r_flag	ORB	ASIC_FAULT
2143	HWERR.*0x080e	illegal_pid_flag	ORB	ASIC_FAULT
2144	HWERR.*0x080f	illegal_pt_flag	ORB	ASIC_FAULT
2150	HWERR.*0x0815	orb_tail_on_head_flag	ORB	ASIC_FAULT
2154	HWERR.*0x0904	OVERFLOW_FLIT_VC1	RAT	ASIC_FAULT
2158	HWERR.*0x0b24	Resp_MalformedPacket	SSID	ASIC_FAULT
2172	HWERR.*0x0d06	Buffer_Overflow	NL	ASIC_FAULT
2173	HWERR.*0x0d0c	NIC0_Req_Bubble	NL	ASIC_FAULT
2186	HWERR.*0x0403	MALFORMED	MALFORMED	ASIC_FAULT
2187	HWERR.*0x0404	NPES_ERR	NPES	ASIC_FAULT
2188	HWERR.*0x0405	ALREADY_SSID_ALLOC	SSID	ASIC_FAULT
2189	HWERR.*0x040c	HT Bad Nonposted Request	HT	ASIC_FAULT
2194	HWERR.*0x0a03	RX_VC_DESC_INV	RX	ASIC_FAULT
2195	HWERR.*0x0b05	LReq_UnCorTransError	NPES	ASIC_FAULT
2196	HWERR.*0x0b0e	LReq_NPES_Violation	NPES	ASIC_FAULT
2197	HWERR.*0x0b11	RReq_MisroutedPacket	PACKET	ASIC_FAULT
2199	HWERR.*0x0b19	RReq_MemBoundError	RReq_MemBoundError	ASIC_FAULT
2200	HWERR.*0x0b1a	RReq_WritePermissionError	RReq_WritePermissionError	ASIC_FAULT
2207	HWERR.*0x0b39	SSID_UnexpectedRspSSID	SSID	ASIC_FAULT
2208	dispatch.*\scurrent_state\saggregate_failures\s\*\*\*\*\*	LINK_FAILOVER_AGG_FAILURES	LINK_FAILOVER	GEMINI
2209	dispatch.*\scurrent_state\shw_error.*\*\*\*\*	HW_ERR_LINKF_IDENTIFIER	LINK_FAILOVER	GEMINI
2210	dispatch.*\scurrent_state\sfinish	FAILOVER_FINISH	LINK_WS	GEMINI
2211	CMD:\s\*\*\*\*\*\salive\s\*\*\*\*\*	CMD_ALIVE	FAILOVER_CMD	GEMINI
2212	CMD:\s\*\*\*\*\*\sunload\s\*\*\*\*\*	CMD_UNLOAD	FAILOVER_CMD	GEMINI
2213	CMD:\s\*\*\*\*\*\sdownload\s\*\*\*\*\*	CMD_DOWNLOAD	FAILOVER_CMD	GEMINI
2214	CMD:\s\*\*\*\*\*\snode_down\s\*\*\*\*\*	CMD_NODE_DOWN	FAILOVER_CMD	GEMINI
2215	CMD:\s\*\*\*\*\*\smodule_down\s\*\*\*\*\*	CMD_MODULE_DOWN	FAILOVER_CMD	GEMINI
2216	CMD:\s\*\*\*\*\*\smodule_up\s\*\*\*\*\*	CMD_MODULE_UP	FAILOVER_CMD	GEMINI
2217	CMD:\s\*\*\*\*\*\snode_up\s\*\*\*\*\*	CMD_NODE_UP	FAILOVER_CMD	GEMINI
2218	CMD:\s\*\*\*\*\*\scoldstart\s\*\*\*\*\*	CMD_COLD_START	FAILOVER_CMD	GEMINI
2219	dispatch:\scurrent_state\sdown_unused_links	DOWN_UNSUSED_LINKS	FAILOVER_STATE	GEMINI
2220	dispatch:\scurrent_state\sinit_new_links	INIT_NEW_LINKS	WS_ADD_FAILOVER	GEMINI
2221	dispatch:\scurrent_state\scheck_init_new_blades	INIT_NEW_BLADES	WS_ADD_FAILOVER	GEMINI
2222	\*\*\*ERROR\*\*\*\sMMR\sor\sMemory\sRead\sFailed	MMR_MEMORY_READ_FAILED	FAULT	ASIC
2223	\*\*\*\*\*\sdispatch:\scurrent_state\sinitial\s\*\*\*\*\*	FAILOVER_INITIAL	FAILOVER	GEMINI
2224	TX\slanemask=7	LANE_RECOVERY_SUCCESS_C	GEMINI_FAILOVER	GEMINI
2225	_do_throttle:\ssending\sthrottle\smask	UNTHROTTLE_SYS	CONGESTION_CONTROL	GEMINI
2226	at\stop\sof\scongestion\slist\sfor	APP_KILL	CONGESTION_CONTROL	GEMINI
2227	add_component_to_node_fault_list	NLINK_VICTIM_NODE_ADDED	NLINK_FAILOVER	GEMINI
2228	cb_aggregate_timeout:\sonly\scritical\snode\serrors;\sskipping\salive\ssteps	NLINK_ID	NLINK_FAILOVER	GEMINI
2229	send_node_nmi_req:\snumber\sof\snodes\sfailed	NLINK_NODE_DISABLING	NLINK_FAILOVER	GEMINI
2230	send_node_nmi_req:\ssending\sHALT\sNMI\sto\snode	NLINK_NODE_DISABLED	NLINK_FAILOVER	GEMINI
2231	no\sreroute\srequired	NO_REROUTE_REQUIRED	NLINK_FAILOVER	GEMINI
